Step,Value
0,0.092905
1,0.13927
2,0.24407
3,0.40457
4,0.53014
5,0.54957
6,0.64455
7,0.61194
8,0.65276
9,0.69895
10,0.69392
11,0.71649
12,0.71778
13,0.69499
14,0.74766
15,0.74653
16,0.74925
17,0.70672
18,0.76304
19,0.76101
20,0.75631
21,0.76834
22,0.77115
23,0.74839
24,0.75968
25,0.78231
26,0.77734
27,0.77711
28,0.78092
29,0.77757
30,0.78494
31,0.7826
32,0.7982
33,0.8026
34,0.79903
35,0.80639
36,0.79689
37,0.80526
38,0.7904
39,0.78838
40,0.78546
41,0.79332
42,0.81156
43,0.80359
44,0.80491
45,0.80345
46,0.80726
47,0.80477
48,0.8059
49,0.81636
50,0.81263
51,0.81371
52,0.80916
53,0.81428
54,0.80631
55,0.80418
56,0.81427
57,0.80661
58,0.81448
59,0.8118
60,0.81219
61,0.81567
62,0.8115
63,0.80522
64,0.79128
65,0.8147
66,0.81311
67,0.8099
68,0.80778
69,0.81112
70,0.80946
71,0.81646
72,0.80805
73,0.81781
74,0.82135
75,0.81068
76,0.813
77,0.81488
78,0.81969
79,0.81981
80,0.81426
81,0.80791
82,0.81547
83,0.81324
84,0.81729
85,0.81614
86,0.82082
87,0.82519
88,0.82504
89,0.81534
90,0.82216
91,0.81848
92,0.81912
93,0.81989
94,0.8223
95,0.81708
96,0.81449
97,0.82187
98,0.82701
99,0.81997
100,0.81458
101,0.8217
102,0.81606
103,0.81902
104,0.82225
105,0.82214
106,0.81387
107,0.82094
108,0.81791
109,0.82136
110,0.82942
111,0.81963
112,0.81951
113,0.82189
114,0.82445
115,0.82309
116,0.82156
117,0.82313
118,0.81772
119,0.82393
120,0.82933
121,0.82992
122,0.82414
123,0.82769
124,0.82199
125,0.82597
126,0.82485
127,0.82769
128,0.82545
129,0.82693
130,0.82484
131,0.82808
132,0.82424
133,0.82183
134,0.82864
135,0.82315
136,0.82338
137,0.822
138,0.83068
139,0.82483
140,0.82745
141,0.83043
142,0.82903
143,0.83224
144,0.83197
145,0.82467
146,0.83
147,0.82645
148,0.82767
149,0.83034
150,0.83271
151,0.827
152,0.8314
153,0.83157
154,0.8327
155,0.82916
156,0.82456
157,0.82855
158,0.82538
159,0.83031
160,0.82735
161,0.82513
162,0.82901
163,0.8338
164,0.82938
165,0.82792
166,0.82544
167,0.82822
168,0.82993
169,0.82715
170,0.8244
171,0.82639
172,0.82735
173,0.82804
174,0.83242
175,0.82998
176,0.82701
177,0.82839
178,0.83177
179,0.83193
180,0.82929
181,0.83184
182,0.82701
183,0.8309
184,0.82767
185,0.83164
186,0.82676
187,0.8285
188,0.83072
189,0.83004
190,0.82999
191,0.83185
192,0.83171
193,0.83037
194,0.83147
195,0.83053
196,0.82789
197,0.82902
198,0.83182
199,0.82937
200,0.83014
201,0.82689
202,0.83211
203,0.83536
204,0.83185
205,0.82825
206,0.83265
207,0.83155
208,0.82883
209,0.83144
210,0.83281
211,0.83179
212,0.83062
213,0.83119
214,0.83226
215,0.83232
216,0.83155
217,0.83101
218,0.83127
219,0.83361
220,0.83222
221,0.8327
222,0.83233
223,0.83372
224,0.83172
225,0.83296
226,0.8355
227,0.83363
228,0.83157
229,0.83237
230,0.83347
231,0.83557
232,0.83317
233,0.83067
234,0.83326
235,0.83085
236,0.83524
237,0.83356
238,0.83358
239,0.83457
240,0.83395
241,0.8344
242,0.83094
243,0.83518
244,0.83444
245,0.8364
246,0.835
247,0.83491
248,0.83467
249,0.83368
250,0.83503
251,0.83564
252,0.83498
253,0.83295
254,0.83407
255,0.8366
256,0.83483
257,0.83641
258,0.8355
259,0.83547
260,0.836
261,0.83406
262,0.83392
263,0.83602
264,0.83517
265,0.83574
266,0.8365
267,0.83461
268,0.83588
269,0.83746
270,0.83662
271,0.83618
272,0.83546
273,0.83412
274,0.83263
275,0.83236
276,0.83295
277,0.83487
278,0.83532
279,0.83515
280,0.8365
281,0.83667
282,0.83462
283,0.83656
284,0.83649
285,0.83428
286,0.83397
287,0.83471
288,0.83516
289,0.83539
290,0.83422
291,0.83536
292,0.83419
293,0.83482
294,0.83505
295,0.83494
296,0.83542
297,0.83591
298,0.83516
299,0.83513
300,0.83674
301,0.83667
302,0.83578
303,0.83532
304,0.83619
305,0.83614
