Step,Value
0,5.2276
1,4.7929
2,3.2695
3,2.5737
4,2.1503
5,1.9282
6,1.8766
7,1.6396
8,1.6106
9,1.5215
10,1.5396
11,1.4345
12,1.3665
13,1.3353
14,1.2825
15,1.2732
16,1.198
17,1.172
18,1.1052
19,1.1762
20,1.0803
21,1.032
22,1.0583
23,1.0528
24,1.0409
25,1.0059
26,1.0309
27,0.96878
28,0.98936
29,0.94676
30,0.9179
31,0.98337
32,0.94041
33,0.93882
34,0.93505
35,0.93154
36,0.89646
37,0.88618
38,0.88906
39,0.90009
40,0.86369
41,0.86783
42,0.84325
43,0.84961
44,0.87233
45,0.83545
46,0.8526
47,0.84383
48,0.82897
49,0.82198
50,0.83373
51,0.82749
52,0.80318
53,0.79658
54,0.79259
55,0.78225
56,0.77272
57,0.8038
58,0.81216
59,0.78176
60,0.78326
61,0.77072
62,0.76513
63,0.78573
64,0.76659
65,0.78708
66,0.7565
67,0.75105
68,0.74729
69,0.7645
70,0.76235
71,0.75263
72,0.75806
73,0.73224
74,0.72979
75,0.73002
76,0.71871
77,0.73884
78,0.75564
79,0.70873
80,0.7539
81,0.71029
82,0.71623
83,0.70793
84,0.69136
85,0.71454
86,0.69684
87,0.69291
88,0.68791
89,0.70604
90,0.70574
91,0.69037
92,0.70847
93,0.69259
94,0.6983
95,0.72709
96,0.67512
97,0.67269
98,0.70054
99,0.69842
100,0.68698
101,0.6933
102,0.66351
103,0.68072
104,0.65656
105,0.66163
106,0.67469
107,0.66285
108,0.68203
109,0.66376
110,0.65681
111,0.67729
112,0.68748
113,0.67374
114,0.64878
115,0.64389
116,0.63878
117,0.66471
118,0.6405
119,0.6301
120,0.63912
121,0.63565
122,0.61306
123,0.66542
124,0.64222
125,0.64059
126,0.62115
127,0.63715
128,0.64812
129,0.60717
130,0.64392
131,0.63011
132,0.61627
133,0.60324
134,0.60467
135,0.61071
136,0.63305
137,0.62034
138,0.61534
139,0.62007
140,0.61989
141,0.61276
142,0.59374
143,0.60979
144,0.59716
145,0.58141
146,0.5951
147,0.60817
148,0.60436
149,0.60988
150,0.61693
151,0.60769
152,0.60653
153,0.59715
154,0.58519
155,0.59691
156,0.5802
157,0.57804
158,0.58879
159,0.58433
160,0.58115
161,0.58777
162,0.55282
163,0.56108
164,0.56513
165,0.59059
166,0.57228
167,0.56012
168,0.56779
169,0.56195
170,0.57486
171,0.58503
172,0.55635
173,0.58239
174,0.57162
175,0.5452
176,0.56273
177,0.56306
178,0.55667
179,0.55162
180,0.54524
181,0.5411
182,0.56247
183,0.54108
184,0.536
185,0.5644
186,0.55683
187,0.54626
188,0.53913
189,0.54901
190,0.53967
191,0.54101
192,0.55258
193,0.54651
194,0.5419
195,0.53064
196,0.54228
197,0.53199
198,0.54597
199,0.55029
200,0.52976
201,0.51137
202,0.53518
203,0.53634
204,0.52824
205,0.50677
206,0.52292
207,0.52171
208,0.54412
209,0.53053
210,0.5319
211,0.50974
212,0.51284
213,0.52948
214,0.5174
215,0.5224
216,0.51524
217,0.52729
218,0.52171
219,0.52113
220,0.51334
221,0.50219
222,0.51497
223,0.50992
224,0.51855
225,0.4982
226,0.49402
227,0.51389
228,0.50512
229,0.51278
230,0.49849
231,0.50276
232,0.50314
233,0.51255
234,0.49105
235,0.49117
236,0.48949
237,0.49574
238,0.48985
239,0.50079
240,0.48538
241,0.49831
242,0.4889
243,0.49173
244,0.49998
245,0.51055
246,0.48936
247,0.49887
248,0.49819
249,0.49988
250,0.49084
251,0.47117
252,0.47212
253,0.47714
254,0.49372
255,0.50377
256,0.47572
257,0.46675
258,0.48267
259,0.49906
260,0.48598
261,0.49281
262,0.47127
