Wall time,Step,Value
1704289298.4395761,10,2.6352901458740234
1704290882.6440926,20,2.7085161209106445
1704292467.2679756,30,2.7051050662994385
1704294052.737305,40,2.7057836055755615
1704295636.8213892,50,2.6989188194274902
1704297219.783113,60,2.706648349761963
1704298804.4096203,70,2.7060866355895996
1704300388.4681754,80,2.7020609378814697
1704301975.4274611,90,2.709115982055664
1704303561.61812,100,2.7120018005371094
1704305145.7206821,110,2.7014474868774414
1704306730.795601,120,2.71108341217041
1704308317.5441995,130,2.7119076251983643
1704309903.024753,140,2.7005209922790527
1704311488.5199378,150,2.7129552364349365
1704313075.2073522,160,2.715770721435547
1704314661.6575384,170,2.7105956077575684
1704316249.1624494,180,2.705246925354004
1704317835.5706294,190,2.713359832763672
1704319423.1521494,200,2.7136785984039307
1704321012.2147698,210,2.7081000804901123
1704322600.1694372,220,2.7102110385894775
1704324186.464461,230,2.7111704349517822
1704325773.4505403,240,2.7108678817749023
1704327360.4930143,250,2.7119991779327393
1704328950.625226,260,2.706120729446411
1704330536.3575196,270,2.71243953704834
1704332124.19371,280,2.7059671878814697
1704333711.2871063,290,2.7060232162475586
1704335300.05012,300,2.7079174518585205
1704336887.4422803,310,2.7102558612823486
1704338475.5867553,320,2.7133708000183105
1704340062.1923654,330,2.7102606296539307
1704341650.856828,340,2.714670419692993
1704343238.9191334,350,2.713146924972534
1704344827.5263145,360,2.7051515579223633
1704346414.9068,370,2.7125537395477295
1704348003.4710631,380,2.7601261138916016
1704349591.115711,390,2.71915340423584
1704351180.299374,400,2.7149500846862793
1704352768.9127815,410,2.713594436645508
1704354355.922549,420,2.703707218170166
1704355942.7835515,430,2.713512897491455
1704357531.271041,440,2.711815595626831
1704359117.7513392,450,2.712353229522705
1704360705.9169314,460,2.714209794998169
1704362292.2536428,470,2.71358585357666
1704363880.177597,480,2.7126097679138184
1704365467.0596044,490,2.713690757751465
1704367055.7028039,500,2.705470323562622
